name,country,trbceconomicsectorname,pagespdf
Kingspan Group PLC,Ireland,Consumer Cyclicals,49
Glenveagh Properties PLC,Ireland,Consumer Cyclicals,71
AIB Group PLC,Ireland,Financials,78
Eni SpA,Italy,Energy,140
Edison SpA,Italy,Utilities,160
Leonardo SpA,Italy,Industrials,112
Amplifon SpA,Italy,Healthcare,121
Prysmian SpA,Italy,Industrials,300
UniCredit SpA,Italy,Financials,186
VP Bank AG,Liechtenstein,Financials,106
Ignitis Grupe AB,Lithuania,Utilities,120
Telia Lietuva AB,Lithuania,Technology,92
Aroundtown SA,Luxembourg,Real Estate,112
Allegro.eu SA,Luxembourg,Consumer Cyclicals,68
InPost SA,Luxembourg,Industrials,90
Zabka Group SA,Luxembourg,Consumer Non-Cyclicals,68
Koninklijke KPN NV,Netherlands,Technology,117
Heineken NV,Netherlands,Consumer Non-Cyclicals,148
Koninklijke Philips NV,Netherlands,Healthcare,85
STMicroelectronics NV,Netherlands,Technology,141
Airbus SE,France,Industrials,109
Acomo NV,Netherlands,Consumer Non-Cyclicals,56
ASM International NV,Netherlands,Technology,37
Koninklijke BAM Groep NV,Netherlands,Industrials,70
SBM Offshore NV,Netherlands,Energy,84
Randstad NV,Netherlands,Industrials,60
Wolters Kluwer NV,Netherlands,Industrials,64
TKH Group NV,Netherlands,Industrials,75
AMG Critical Materials NV,Netherlands,Basic Materials,59
Arcadis NV,Netherlands,Industrials,110
PostNL NV,Netherlands,Industrials,129
ASML Holding NV,Netherlands,Technology,164
NN Group NV,Netherlands,Financials,123
IMCD NV,Netherlands,Basic Materials,97
argenx SE,Netherlands,Healthcare,70
ABN Amro Bank NV,Netherlands,Financials,147
Ferrari NV,Italy,Consumer Cyclicals,123
Koninklijke Ahold Delhaize NV,Netherlands,Consumer Non-Cyclicals,124
ING Groep NV,Netherlands,Financials,61
Signify NV,Netherlands,Consumer Cyclicals,84
ASR Nederland NV,Netherlands,Financials,128
Redcare Pharmacy NV,Netherlands,Consumer Non-Cyclicals,83
Alfen NV,Netherlands,Industrials,34
Adyen NV,Netherlands,Technology,95
TomTom NV,Netherlands,Technology,39
Cementir Holding NV,Netherlands,Basic Materials,215
Cabka NV,Netherlands,Basic Materials,35
Stellantis NV,Netherlands,Consumer Cyclicals,106
Fugro NV,Netherlands,Energy,63
Universal Music Group NV,Netherlands,Consumer Cyclicals,50
Ferrovial SE,Spain,Industrials,146
Storebrand ASA,Norway,Financials,137
Norsk Hydro ASA,Norway,Basic Materials,73
Telenor ASA,Norway,Technology,84
Equinor ASA,Norway,Energy,103
Dnb Bank ASA,Norway,Financials,147
Gjensidige Forsikring ASA,Norway,Financials,112
Multiconsult ASA,Norway,Industrials,35
Bank Millennium SA,Poland,Financials,170
Benefit Systems SA,Poland,Industrials,89
Santander Bank Polska SA,Poland,Financials,128
Dino Polska SA,Poland,Consumer Non-Cyclicals,57
Eurocash SA,Poland,Consumer Non-Cyclicals,127
Grupa Pracuj SA,Poland,Industrials,88
LPP SA,Poland,Consumer Cyclicals,102
CD Projekt SA,Poland,Technology,58
Bank Polska Kasa Opieki SA,Poland,Financials,174
Wirtualna Polska Holding SA,Poland,Technology,87
EDP SA,Portugal,Utilities,279
Sonae SGPS SA,Portugal,Consumer Non-Cyclicals,187
NOS SGPS SA,Portugal,Technology,239
Skandinaviska Enskilda Banken AB,Sweden,Financials,117
Swedbank AB,Sweden,Financials,154
Telia Company AB,Sweden,Technology,100
Axfood AB,Sweden,Consumer Non-Cyclicals,60
Assa Abloy AB,Sweden,Consumer Cyclicals,50
Svenska Handelsbanken AB,Sweden,Financials,120
